trial	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
1	0.9415714285714281	0.9319795918367337	0.9689183673469389	0.9467755102040807	0.9598877551020399
2	0.9498367346938772	0.9410816326530604	0.9745510204081631	0.9557142857142847	0.9618469387755092
3	0.9505306122448975	0.9509591836734687	0.9729591836734692	0.9591836734693869	0.970153061224489
4	0.9575510204081628	0.9509591836734685	0.9715714285714285	0.9625306122448972	0.9679489795918359
5	0.9464081632653056	0.9351224489795912	0.9728367346938772	0.9538163265306112	0.9669387755102031
6	0.9431224489795915	0.9393469387755096	0.9733877551020407	0.95438775510204	0.9687755102040808
7	0.9461836734693871	0.935653061224489	0.9679795918367347	0.950857142857142	0.9640102040816318
8	0.9375714285714281	0.9371632653061218	0.9639183673469386	0.949795918367346	0.9569591836734688
9	0.9442244897959177	0.9371632653061212	0.9673265306122449	0.9492040816326521	0.963295918367346
10	0.9412040816326526	0.9362857142857133	0.9675714285714284	0.9468163265306112	0.9608265306122443
11	0.9452448979591832	0.9407551020408151	0.9679795918367345	0.9506530612244888	0.9569183673469379
12	0.9391836734693874	0.937857142857142	0.9706938775510203	0.9474285714285706	0.9640510204081623
13	0.9496530612244893	0.9375918367346933	0.9722244897959182	0.9531224489795909	0.9647551020408156
14	0.942428571428571	0.9359795918367335	0.968408163265306	0.9521632653061214	0.9663673469387746
15	0.9443061224489792	0.9401020408163258	0.967530612244898	0.9541428571428563	0.9619591836734686
16	0.9489999999999996	0.9422040816326526	0.9709795918367344	0.9545510204081623	0.963153061224489
17	0.9497346938775506	0.9429999999999994	0.9690408163265304	0.9532653061224483	0.9597653061224481
18	0.9443469387755098	0.9347142857142852	0.9710612244897958	0.9474897959183665	0.9630510204081624
19	0.9420612244897955	0.9424081632653053	0.9691836734693876	0.952530612244897	0.9607653061224481
20	0.946224489795918	0.9387959183673461	0.9718367346938775	0.9487551020408154	0.9632448979591828
21	0.9377346938775506	0.9392040816326521	0.9580816326530611	0.9488163265306113	0.953622448979591
22	0.9464081632653056	0.9389387755102031	0.9747755102040814	0.9535918367346928	0.9665816326530603
23	0.946897959183673	0.9468571428571422	0.973408163265306	0.9550204081632646	0.9664693877551012
24	0.9492244897959179	0.9431632653061217	0.9705306122448979	0.9558775510204072	0.9671836734693867
25	0.9526122448979588	0.949448979591836	0.9727142857142855	0.9606326530612239	0.9666530612244886
26	0.941632653061224	0.936653061224489	0.9734081632653059	0.953795918367346	0.9669285714285707
27	0.9419795918367342	0.9452040816326522	0.9740408163265305	0.9524285714285706	0.9681530612244887
28	0.9462448979591833	0.9402040816326522	0.9703469387755101	0.9511020408163258	0.966061224489795
29	0.9428163265306119	0.9425306122448974	0.9667755102040814	0.9483673469387747	0.9597244897959174
30	0.9457551020408159	0.9322448979591832	0.9664693877551018	0.950061224489795	0.9593061224489788
31	0.9461020408163261	0.9431836734693866	0.9650408163265307	0.9557551020408154	0.955357142857142
32	0.9457142857142853	0.9352448979591829	0.9695714285714284	0.9503061224489787	0.958591836734693
33	0.9459999999999995	0.9437346938775504	0.9700204081632652	0.951857142857142	0.9606122448979585
