rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
143	59.62	57.22	64.89	59.73	64.68
144	59.73	57.41	64.94	59.86	64.73
145	59.84	57.64	64.97	59.96	64.78
146	59.93	57.86	64.98	60.07	64.81
147	60.03	58.1	65.02	60.21	64.84
148	60.11	58.34	65.02	60.34	64.87
149	60.19	58.53	65.05	60.58	64.87
150	60.31	58.73	65.08	60.77	64.9
151	60.37	58.97	65.1	60.95	64.92
152	60.46	59.22	65.11	61.24	64.95
153	60.54	59.38	65.15	61.45	64.96
154	60.59	59.52	65.17	61.66	64.96
155	60.67	59.68	65.21	61.9	64.97
156	60.72	59.8	65.23	62.12	64.98
157	60.76	59.93	65.25	62.39	64.99
158	60.78	60.15	65.26	62.65	64.99
159	60.8	60.26	65.34	62.85	65.0
160	60.83	60.41	65.4	63.05	65.0
161	60.86	60.62	65.42	63.19	65.0
162	60.87	60.8	65.45	63.35	65.0
163	60.91	60.96	65.51	63.57	65.0
164	60.97	61.15	65.53	63.7	65.0
165	60.97	61.34	65.57	63.87	65.0
166	60.98	61.49	65.64	64.13	65.0
167	61.0	61.63	65.65	64.39	65.0
168	61.01	61.8	65.71	64.61	65.0
169	61.02	61.95	65.75	64.88	65.0
170	61.06	62.09	65.78	65.07	65.0
171	61.06	62.17	65.81	65.36	65.0
172	61.07	62.33	65.84	65.52	65.0
173	61.09	62.41	65.88	65.69	65.0
174	61.11	62.57	65.88	65.93	65.0
175	61.13	62.73	65.9	66.2	65.01
176	61.15	62.84	65.92	66.37	65.02
177	61.19	62.98	65.94	66.51	65.03
178	61.21	63.14	65.94	66.71	65.03
179	61.26	63.35	65.95	66.9	65.04
180	61.29	63.55	65.95	67.1	65.06
181	61.33	63.69	65.96	67.25	65.08
182	61.35	63.81	65.96	67.36	65.1
183	61.4	63.97	65.96	67.53	65.11
184	61.45	64.09	65.97	67.67	65.14
185	61.54	64.19	65.98	67.84	65.17
186	61.59	64.36	65.99	68.0	65.23
187	61.61	64.47	66.01	68.11	65.3
188	61.62	64.63	66.01	68.22	65.37
189	61.66	64.75	66.01	68.35	65.41
190	61.7	64.92	66.01	68.44	65.49
191	61.75	65.08	66.02	68.52	65.59
192	61.83	65.18	66.03	68.62	65.74
193	61.95	65.32	66.03	68.68	65.86
194	62.04	65.47	66.03	68.75	66.0
195	62.15	65.55	66.04	68.79	66.12
196	62.21	65.73	66.04	68.81	66.2
197	62.28	65.83	66.04	68.84	66.28
198	62.35	65.93	66.05	68.88	66.38
199	62.42	66.05	66.07	68.91	66.49
200	62.51	66.12	66.09	68.93	66.6
201	62.59	66.21	66.1	68.96	66.67
202	62.67	66.29	66.11	68.98	66.77
203	62.84	66.36	66.12	68.98	66.86
204	62.97	66.47	66.15	68.99	66.97
205	63.1	66.51	66.24	68.99	67.09
206	63.22	66.58	66.27	69.0	67.19
207	63.34	66.63	66.3	69.0	67.29
208	63.51	66.68	66.32	69.0	67.37
209	63.64	66.72	66.38	69.0	67.47
210	63.76	66.8	66.4	69.0	67.55
211	63.87	66.87	66.42	69.0	67.62
212	64.04	66.9	66.51	69.0	67.67
213	64.31	66.94	66.54	69.0	67.73
214	64.51	66.97	66.61	69.0	67.78
