trial	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
1	0.9005106154259611	0.9254770223058304	0.9499865627519486	0.9410642300456867	0.9333512496640679
2	0.9093254501478101	0.940231120666486	0.956140822359581	0.9585057780166623	0.9434963719430249
3	0.9035474334856225	0.9323568933082488	0.9506315506584255	0.9452029024455793	0.9381752217145921
4	0.9126041386724002	0.9345606019887108	0.9563289438323034	0.9531846277882291	0.936589626444503
5	0.9186777747917229	0.9406611126041367	0.9594732598763774	0.9603869927438862	0.9454985219027128
6	0.9152378392905136	0.9369524321418956	0.9556839559258267	0.9552539639881755	0.9458747648481582
7	0.9087342112335398	0.9370868046224118	0.953829615694706	0.9510884170921796	0.9397205052405261
8	0.9116097823165819	0.9409298575651693	0.9516796560064502	0.9496371943026071	0.943469497446922
9	0.9055898951894654	0.9296963181940323	0.9480247245364152	0.9450147809728568	0.9380005374899218
10	0.9042730448804088	0.9334049986562738	0.9536146197258805	0.9468422467078744	0.94051330287557
11	0.9006718624025803	0.9289707067992459	0.9459016393442627	0.9400429991937653	0.9348024724536403
12	0.8941144853534	0.9277882289707051	0.9471109916689067	0.9473797366299384	0.9372614888470833
13	0.9076323568933085	0.9320343993550106	0.950174684224671	0.9461972588013976	0.9367643106691742
14	0.9074711099166893	0.9386723998925001	0.9525127653856492	0.9539371136791186	0.938658962644449
15	0.9130878796022576	0.9316044074173596	0.9527546358505782	0.9493684493415749	0.9381886589626437
16	0.9119322762698202	0.9323837678043518	0.9590432679387263	0.9524321418973396	0.941789841440472
17	0.9018543402311211	0.9296425692018259	0.9467616232195649	0.9457672668637465	0.9361999462510068
18	0.90470303681806	0.9342649825315763	0.9506852996506319	0.949637194302607	0.941091104541789
19	0.9073098629400702	0.9436979306637985	0.9588013974737976	0.9621069604944908	0.945713517871539
20	0.9047836603063695	0.9357162053211484	0.9418973394248861	0.9499596882558453	0.9319000268744952
21	0.9130341306100511	0.9335931201289962	0.9500671862402581	0.9504703036818061	0.9363746304756775
22	0.9058317656543942	0.9335393711367893	0.9580220370868049	0.9468422467078743	0.9402983069067443
23	0.9145391023918302	0.9392636388067709	0.9618919645256652	0.9549045955388338	0.9422467078742268
24	0.8982262832571892	0.9317925288900812	0.9465197527546362	0.9452297769416825	0.9357430798172524
25	0.9064767535608709	0.9276269819940859	0.9527008868583716	0.9451491534533729	0.9394517602794937
26	0.9090567051867781	0.9350980919107751	0.9574845471647409	0.9511959150765925	0.9438054286482118
27	0.9136253695243217	0.9321956463316297	0.9509809191077669	0.9487234614350983	0.9418973394248847
28	0.9012899758129538	0.9360924482665934	0.9529696318194036	0.9468153722117711	0.9376511690405797
29	0.9049986562751952	0.9281375974200468	0.9535339962375708	0.9453372749260953	0.938228970706798
30	0.9111529158828275	0.9369524321418957	0.9555764579414138	0.9511959150765925	0.939303950550926
31	0.9077667293738245	0.9443429185702754	0.9597420048374095	0.9588282719699007	0.946089760816984
32	0.9043536683687182	0.9349099704380531	0.9601182477828542	0.9506584251545285	0.9438323031443153
33	0.9107766729373826	0.9406879871002404	0.945955388336469	0.9505240526740124	0.9370061811341027
34	0.903493684493416	0.9341574845471632	0.9469497446922873	0.9457672668637466	0.9385783391561395
35	0.9064230045686645	0.937731792528888	0.9529427573233005	0.9482665950013439	0.9409567320612726
36	0.9003493684493421	0.9372480515990308	0.952055898951895	0.9502553077129805	0.9398548777210416
37	0.9184627788228972	0.947110991668905	0.9611394786347758	0.9589357699543135	0.9490862671324904
38	0.910266057511422	0.9414135984950268	0.9547164740661115	0.9523783929051333	0.9420048374092976
39	0.907686105885515	0.9374092985756505	0.947863477559796	0.9538296156947059	0.9392770760548229
