disease	dgnum	dgingraph	lccnum	lccratio	zscore	pvalue
DOID:986	39	37	6	0.16216216216216217	3.80360433009	0.013798620137986202
DOID:552	74	74	9	0.12162162162162163	2.12945923759	0.0532946705329467
DOID:14221	515	506	408	0.8063241106719368	9.01151703022	9.999000099990002e-05
DOID:12678	17	16	2	0.125	1.58550887673	0.18908109189081093
DOID:10223	28	27	3	0.1111111111111111	1.763523688	0.096990300969903
DOID:1273	219	218	157	0.7201834862385321	8.68983860711	9.999000099990002e-05
DOID:14320	12	12	4	0.3333333333333333	7.86322157882	0.0011998800119988001
DOID:4248	70	69	24	0.34782608695652173	9.29991044719	9.999000099990002e-05
DOID:0014667	56	56	12	0.21428571428571427	5.49516800321	0.003999600039996
DOID:10322	23	21	2	0.09523809523809523	0.973605258677	0.30456954304569545
DOID:7474	17	17	2	0.11764705882352941	1.41930383323	0.22177782221777823
DOID:11119	56	55	18	0.32727272727272727	9.376671646	0.00019998000199980003
DOID:1123	18	18	3	0.16666666666666666	3.1234422991	0.0313968603139686
DOID:13375	43	43	9	0.20930232558139536	5.44104016329	0.003999600039996
DOID:10487	29	27	5	0.18518518518518517	4.25842881356	0.0082991700829917
DOID:12401	10	10	3	0.3	6.24190138542	0.005499450054994501
DOID:6713	84	83	51	0.6144578313253012	15.7363259017	9.999000099990002e-05
DOID:2891	176	174	138	0.7931034482758621	11.9670785568	9.999000099990002e-05
DOID:9279	40	38	4	0.10526315789473684	1.89859475185	0.0670932906709329
DOID:1206	15	15	2	0.13333333333333333	1.75187302171	0.1787821217878212
DOID:37	212	211	114	0.5402843601895735	6.35036195208	9.999000099990002e-05
DOID:2921	54	54	13	0.24074074074074073	6.55151056273	0.0016998300169983002
DOID:12365	98	93	20	0.21505376344086022	4.32857922141	0.006099390060993901
DOID:4029	80	77	35	0.45454545454545453	11.7852137921	9.999000099990002e-05
DOID:0050589	215	186	98	0.5268817204301075	6.93148747627	9.999000099990002e-05
DOID:288	33	31	6	0.1935483870967742	4.91192633753	0.0058994100589941
DOID:1474	47	47	9	0.19148936170212766	4.88557427932	0.006099390060993901
DOID:480	37	36	9	0.25	6.78590280109	0.0014998500149985001
DOID:12466	148	138	22	0.15942028985507245	1.75306298151	0.07839216078392161
DOID:10871	40	39	8	0.20512820512820512	5.26813805646	0.0053994600539946005
DOID:1588	71	70	13	0.18571428571428572	4.10046312191	0.0100989901009899
DOID:11394	43	43	5	0.11627906976744186	2.22581795455	0.05269473052694731
DOID:699	15	15	2	0.13333333333333333	1.75187302171	0.1787821217878212
DOID:3042	68	68	4	0.058823529411764705	0.264193054208	0.32596740325967405
DOID:4724	10	10	1	0.1	-0.293094568535	1.0
DOID:630	87	83	44	0.5301204819277109	13.3703270592	9.999000099990002e-05
DOID:3371	20	20	6	0.3	7.68811463868	0.0008999100089991
DOID:0050572	65	54	4	0.07407407407407407	0.823664293513	0.18538146185381463
DOID:11729	13	13	3	0.23076923076923078	4.56695617599	0.013398660133986601
DOID:576	96	96	33	0.34375	7.53943911505	0.00029997000299970003
DOID:4552	48	48	31	0.6458333333333334	20.3969651416	9.999000099990002e-05
DOID:3910	94	93	68	0.7311827956989247	18.3171204338	9.999000099990002e-05
DOID:446	12	12	4	0.3333333333333333	7.86322157882	0.0011998800119988001
DOID:12987	16	16	2	0.125	1.58550887673	0.18908109189081093
DOID:5411	76	74	40	0.5405405405405406	14.8728352395	9.999000099990002e-05
DOID:12716	27	26	3	0.11538461538461539	1.89841956781	0.07949205079492051
DOID:1935	19	18	12	0.6666666666666666	19.4291155542	9.999000099990002e-05
DOID:3429	12	12	6	0.5	13.3357633047	9.999000099990002e-05
DOID:643	36	36	29	0.8055555555555556	25.9993541116	9.999000099990002e-05
DOID:676	113	109	24	0.22018348623853212	3.84157211269	0.007699230076992301
DOID:865	50	49	11	0.22448979591836735	5.75756230864	0.0030996900309969004
DOID:4752	35	34	15	0.4411764705882353	13.5703255936	9.999000099990002e-05
DOID:13641	25	25	3	0.12	2.0298339655	0.07329267073292671
DOID:423	69	66	30	0.45454545454545453	12.5766735249	9.999000099990002e-05
DOID:0050486	22	21	7	0.3333333333333333	8.72523948381	0.00039996000399960006
DOID:4471	191	175	131	0.7485714285714286	11.243393038	9.999000099990002e-05
DOID:9477	41	40	16	0.4	12.1476675902	9.999000099990002e-05
DOID:5603	32	32	8	0.25	6.93159648333	0.0013998600139986002
DOID:2988	35	35	11	0.3142857142857143	9.02161853719	0.00029997000299970003
DOID:0060040	58	55	4	0.07272727272727272	0.744693118928	0.20617938206179381
DOID:14452	10	10	4	0.4	9.50939936239	0.00039996000399960006
DOID:8991	46	45	27	0.6	19.3854701383	9.999000099990002e-05
DOID:11724	34	34	18	0.5294117647058824	16.66388837	9.999000099990002e-05
DOID:1602	17	16	4	0.25	5.63948196989	0.004899510048995101
DOID:3021	62	60	18	0.3	8.27817832924	0.0004999500049995
DOID:14330	378	336	231	0.6875	6.61472684686	9.999000099990002e-05
DOID:13533	14	14	2	0.14285714285714285	1.97560916537	0.1498850114988501
DOID:13250	39	39	4	0.10256410256410256	1.72248046024	0.07899210078992101
DOID:4989	80	79	12	0.1518987341772152	2.95461855378	0.026097390260973904
DOID:8712	24	24	8	0.3333333333333333	8.97509900399	0.0004999500049995
DOID:4481	94	93	21	0.22580645161290322	4.62000716333	0.004899510048995101
DOID:4676	43	42	13	0.30952380952380953	9.04278611315	0.00039996000399960006
DOID:905	15	15	14	0.9333333333333333	28.0332535199	9.999000099990002e-05
DOID:0050564	24	20	6	0.3	7.68811463868	0.0008999100089991
DOID:2671	118	117	87	0.7435897435897436	15.6445961893	9.999000099990002e-05
DOID:3192	16	16	7	0.4375	11.7204416096	9.999000099990002e-05
DOID:5672	732	697	539	0.7733142037302726	8.38035264638	9.999000099990002e-05
DOID:1542	321	313	231	0.7380191693290735	7.46033838417	9.999000099990002e-05
DOID:6000	199	197	109	0.5532994923857868	7.14156617782	9.999000099990002e-05
DOID:9973	247	234	105	0.44871794871794873	4.42681933996	9.999000099990002e-05
DOID:0050685	76	74	40	0.5405405405405406	14.8728352395	9.999000099990002e-05
DOID:289	213	211	149	0.7061611374407583	8.83333312916	9.999000099990002e-05
DOID:216	15	14	2	0.14285714285714285	1.97560916537	0.1498850114988501
DOID:2043	171	168	115	0.6845238095238095	10.5095737304	9.999000099990002e-05
DOID:1824	68	68	25	0.36764705882352944	10.0907147304	9.999000099990002e-05
DOID:4398	54	40	11	0.275	7.77485708257	0.000999900009999
DOID:8506	28	28	5	0.17857142857142858	4.14140594634	0.010498950104989501
DOID:3376	73	73	55	0.7534246575342466	20.8575405473	9.999000099990002e-05
DOID:1089	114	109	36	0.3302752293577982	6.48980593005	0.00019998000199980003
DOID:4961	24	24	2	0.08333333333333333	0.734006627653	0.3688631136886311
DOID:2527	23	23	4	0.17391304347826086	3.66032480077	0.017798220177982202
DOID:1969	42	42	13	0.30952380952380953	9.04278611315	0.00039996000399960006
DOID:891	12	12	3	0.25	5.12695071588	0.0091990800919908
DOID:3968	13	13	7	0.5384615384615384	14.4291948544	9.999000099990002e-05
DOID:0050565	35	29	3	0.10344827586206896	1.60547097345	0.10738926107389261
DOID:2862	17	15	3	0.2	3.94198806322	0.018998100189981004
DOID:3247	32	32	18	0.5625	18.0292533571	9.999000099990002e-05
DOID:3454	40	40	17	0.425	13.0222296917	9.999000099990002e-05
DOID:4606	16	16	2	0.125	1.58550887673	0.18908109189081093
DOID:341	92	88	38	0.4318181818181818	10.3123751104	9.999000099990002e-05
DOID:9256	589	560	416	0.7428571428571429	7.86279579127	9.999000099990002e-05
DOID:1441	48	40	12	0.3	8.64941918409	0.00029997000299970003
DOID:9164	11	10	3	0.3	6.24190138542	0.005499450054994501
DOID:4866	56	54	14	0.25925925925925924	7.18793792597	0.0008999100089991
DOID:1993	78	78	56	0.717948717948718	19.2730276784	9.999000099990002e-05
DOID:11335	106	100	39	0.39	8.44945917028	9.999000099990002e-05
DOID:8850	51	49	17	0.3469387755102041	9.82914859561	0.00019998000199980003
DOID:988	16	15	3	0.2	3.94198806322	0.018998100189981004
DOID:12206	103	100	62	0.62	14.2927040826	9.999000099990002e-05
DOID:4621	15	12	3	0.25	5.12695071588	0.0091990800919908
DOID:12177	33	33	6	0.18181818181818182	4.51817885275	0.007999200079992
DOID:9667	25	25	6	0.24	6.08517619811	0.0024997500249975004
DOID:3385	33	33	8	0.24242424242424243	6.67174360621	0.0006999300069993001
DOID:12252	20	19	2	0.10526315789473684	1.25166812738	0.25107489251074894
DOID:934	82	81	32	0.3950617283950617	9.94920555246	9.999000099990002e-05
DOID:11963	47	46	6	0.13043478260869565	2.73534753265	0.0342965703429657
DOID:8955	10	10	1	0.1	-0.293094568535	1.0
DOID:2048	46	46	5	0.10869565217391304	1.98230614606	0.06469353064693531
DOID:417	244	236	134	0.5677966101694916	6.06848934071	9.999000099990002e-05
DOID:1389	12	12	1	0.08333333333333333	-0.345591009989	1.0
DOID:2355	77	75	11	0.14666666666666667	2.80162059215	0.030796920307969204
DOID:900	94	93	57	0.6129032258064516	15.1114130726	9.999000099990002e-05
DOID:8628	16	14	2	0.14285714285714285	1.97560916537	0.1498850114988501
DOID:2797	71	71	24	0.3380281690140845	8.91025439854	9.999000099990002e-05
DOID:3829	45	44	19	0.4318181818181818	13.6765510117	9.999000099990002e-05
DOID:6364	147	140	55	0.39285714285714285	6.27168831636	9.999000099990002e-05
DOID:225	459	441	273	0.6190476190476191	5.51091970697	9.999000099990002e-05
DOID:332	191	180	110	0.6111111111111112	8.64699730681	9.999000099990002e-05
DOID:13097	43	43	8	0.18604651162790697	4.6372346111	0.0082991700829917
DOID:9970	827	773	551	0.7128072445019404	6.79779443536	9.999000099990002e-05
DOID:2871	215	206	167	0.8106796116504854	10.6314540413	9.999000099990002e-05
DOID:3905	753	730	614	0.8410958904109589	9.88376631889	9.999000099990002e-05
