rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
143	52.27	54.64	54.86	56.2	56.0
144	52.43	54.77	55.11	56.34	56.0
145	52.59	54.91	55.31	56.5	56.0
146	52.71	54.99	55.55	56.71	56.0
147	52.78	55.05	55.8	56.84	56.0
148	52.9	55.11	55.98	57.07	56.0
149	53.04	55.22	56.12	57.22	56.0
150	53.14	55.37	56.29	57.4	56.0
151	53.28	55.49	56.47	57.6	56.0
152	53.35	55.62	56.65	57.83	56.0
153	53.47	55.78	56.76	57.92	56.0
154	53.64	55.91	56.99	58.08	56.0
155	53.8	56.0	57.15	58.21	56.0
156	53.95	56.15	57.28	58.35	56.0
157	54.12	56.28	57.4	58.45	56.01
158	54.31	56.37	57.56	58.6	56.02
159	54.36	56.48	57.61	58.66	56.02
160	54.5	56.57	57.75	58.7	56.02
161	54.65	56.65	57.87	58.78	56.04
162	54.75	56.71	57.95	58.8	56.04
163	54.89	56.78	58.05	58.84	56.07
164	55.04	56.85	58.13	58.88	56.08
165	55.11	56.95	58.22	58.92	56.1
166	55.24	57.03	58.32	58.94	56.14
167	55.33	57.1	58.42	58.97	56.15
168	55.42	57.18	58.47	58.98	56.16
169	55.5	57.24	58.53	58.98	56.18
170	55.63	57.3	58.62	58.98	56.19
171	55.71	57.42	58.64	58.99	56.22
172	55.8	57.5	58.71	58.99	56.24
173	55.89	57.54	58.76	58.99	56.28
174	56.0	57.58	58.86	58.99	56.32
175	56.06	57.63	58.89	59.0	56.33
176	56.16	57.69	58.95	59.0	56.39
177	56.24	57.74	59.03	59.0	56.42
178	56.29	57.78	59.1	59.0	56.46
179	56.35	57.83	59.13	59.0	56.48
180	56.42	57.86	59.23	59.0	56.53
181	56.45	57.92	59.28	59.0	56.53
182	56.5	57.94	59.32	59.0	56.58
183	56.53	57.94	59.38	59.0	56.62
184	56.6	57.96	59.48	59.0	56.66
185	56.63	57.98	59.56	59.0	56.73
186	56.66	57.99	59.59	59.0	56.78
187	56.68	58.01	59.63	59.0	56.79
188	56.74	58.04	59.64	59.0	56.79
189	56.78	58.07	59.7	59.0	56.83
190	56.79	58.09	59.74	59.0	56.86
191	56.81	58.09	59.8	59.0	56.88
192	56.85	58.11	59.86	59.0	56.89
193	56.88	58.15	59.9	59.0	56.9
194	56.9	58.18	59.96	59.0	56.9
195	56.91	58.21	60.01	59.0	56.9
196	56.92	58.26	60.05	59.0	56.93
197	56.94	58.29	60.1	59.0	56.94
198	56.95	58.33	60.12	59.01	56.96
199	56.95	58.36	60.15	59.01	56.97
