rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
143	60.45	58.87	65.35	60.85	64.88
144	60.53	59.0	65.4	61.12	64.9
145	60.6	59.14	65.44	61.36	64.9
146	60.7	59.28	65.47	61.61	64.92
147	60.73	59.35	65.49	61.82	64.93
148	60.74	59.43	65.53	61.97	64.95
149	60.77	59.58	65.54	62.14	64.98
150	60.78	59.72	65.58	62.37	64.99
151	60.81	59.91	65.61	62.58	64.99
152	60.84	60.04	65.69	62.76	65.0
153	60.88	60.1	65.75	62.98	65.0
154	60.89	60.26	65.77	63.19	65.0
155	60.92	60.44	65.81	63.42	65.0
156	60.95	60.68	65.86	63.67	65.0
157	60.99	60.88	65.89	63.89	65.01
158	61.0	61.03	65.91	64.13	65.02
159	61.01	61.21	65.94	64.39	65.03
160	61.04	61.35	65.95	64.61	65.03
161	61.06	61.53	65.96	64.75	65.03
162	61.13	61.75	65.97	64.99	65.03
163	61.15	61.93	65.99	65.25	65.03
164	61.2	62.16	66.02	65.42	65.03
165	61.21	62.37	66.04	65.59	65.04
166	61.24	62.59	66.06	65.73	65.06
167	61.26	62.78	66.06	65.94	65.08
168	61.31	63.1	66.11	66.12	65.11
169	61.36	63.22	66.13	66.29	65.14
170	61.39	63.37	66.14	66.48	65.17
171	61.43	63.56	66.18	66.62	65.2
172	61.49	63.8	66.21	66.79	65.23
173	61.58	64.09	66.25	66.93	65.26
174	61.63	64.25	66.29	67.07	65.28
175	61.71	64.45	66.3	67.17	65.33
176	61.77	64.67	66.34	67.32	65.39
177	61.85	64.87	66.38	67.39	65.49
178	61.9	65.04	66.45	67.54	65.57
179	61.97	65.23	66.46	67.66	65.68
180	62.03	65.35	66.48	67.76	65.75
181	62.13	65.48	66.54	67.87	65.81
182	62.2	65.62	66.61	67.91	65.88
183	62.27	65.77	66.65	68.03	65.97
184	62.4	65.97	66.67	68.13	66.08
185	62.49	66.07	66.7	68.21	66.18
186	62.59	66.18	66.73	68.29	66.29
187	62.67	66.23	66.75	68.34	66.42
188	62.81	66.35	66.76	68.38	66.54
189	62.9	66.42	66.79	68.44	66.64
190	62.97	66.5	66.86	68.49	66.72
191	63.1	66.61	66.9	68.53	66.79
192	63.2	66.65	66.91	68.56	66.87
193	63.32	66.77	66.93	68.6	66.93
194	63.52	66.82	66.95	68.63	67.02
195	63.76	66.89	66.97	68.67	67.1
196	63.91	66.95	66.99	68.69	67.23
197	64.11	67.0	67.0	68.74	67.34
198	64.3	67.04	67.02	68.76	67.44
199	64.52	67.07	67.06	68.8	67.51
200	64.7	67.12	67.09	68.83	67.57
201	64.87	67.14	67.1	68.88	67.66
202	65.05	67.14	67.13	68.91	67.73
203	65.23	67.15	67.19	68.92	67.81
204	65.38	67.18	67.21	68.93	67.84
205	65.5	67.26	67.25	68.94	67.88
206	65.7	67.32	67.3	68.97	67.9
207	65.86	67.33	67.36	68.97	67.93
208	66.0	67.34	67.37	68.98	67.94
209	66.15	67.39	67.4	68.98	67.95
210	66.31	67.43	67.45	68.98	67.95
211	66.49	67.44	67.52	68.99	67.95
212	66.6	67.46	67.55	68.99	67.96
213	66.71	67.48	67.57	69.0	67.97
214	66.8	67.5	67.57	69.0	67.99
215	66.97	67.52	67.59	69.0	68.0
216	67.17	67.56	67.61	69.0	68.02
217	67.3	67.62	67.65	69.0	68.03
218	67.38	67.64	67.68	69.0	68.03
219	67.46	67.66	67.72	69.0	68.03
220	67.55	67.7	67.73	69.0	68.04
221	67.62	67.71	67.78	69.0	68.04
222	67.72	67.75	67.86	69.0	68.05
223	67.85	67.78	67.88	69.0	68.06
224	67.95	67.8	67.94	69.0	68.07
225	68.01	67.83	67.97	69.0	68.1
226	68.14	67.85	68.0	69.0	68.12
227	68.26	67.86	68.06	69.0	68.12
228	68.33	67.88	68.08	69.0	68.13
229	68.38	67.91	68.11	69.0	68.13
230	68.41	67.94	68.15	69.0	68.14
231	68.47	67.95	68.23	69.0	68.15
232	68.55	67.95	68.27	69.0	68.22
233	68.61	67.95	68.33	69.0	68.24
234	68.66	67.96	68.38	69.01	68.25
235	68.67	67.96	68.45	69.01	68.3
236	68.76	67.96	68.53	69.01	68.33
237	68.8	67.96	68.58	69.01	68.35
238	68.86	67.97	68.67	69.01	68.38
239	68.91	67.98	68.73	69.01	68.39
240	68.94	67.99	68.83	69.01	68.45
241	68.98	67.99	68.91	69.01	68.5
242	69.04	67.99	68.95	69.01	68.51
243	69.08	68.0	69.02	69.01	68.55
244	69.14	68.0	69.09	69.01	68.57
245	69.22	68.0	69.18	69.01	68.62
246	69.29	68.0	69.23	69.01	68.67
247	69.3	68.0	69.3	69.01	68.71
248	69.33	68.0	69.33	69.01	68.72
249	69.38	68.0	69.37	69.02	68.74
250	69.43	68.0	69.43	69.05	68.75
251	69.47	68.0	69.5	69.07	68.77
252	69.51	68.01	69.55	69.08	68.79
253	69.54	68.01	69.57	69.09	68.79
254	69.58	68.02	69.6	69.09	68.81
255	69.62	68.02	69.68	69.11	68.83
256	69.67	68.02	69.7	69.11	68.85
257	69.72	68.03	69.73	69.13	68.86
258	69.75	68.04	69.76	69.14	68.87
259	69.77	68.04	69.78	69.16	68.87
260	69.78	68.04	69.83	69.17	68.89
261	69.81	68.04	69.88	69.19	68.9
262	69.84	68.04	69.9	69.2	68.9
263	69.84	68.05	69.93	69.23	68.92
264	69.86	68.05	69.94	69.24	68.93
265	69.86	68.05	69.94	69.27	68.94
266	69.89	68.05	69.96	69.31	68.97
267	69.92	68.08	69.98	69.32	68.98
268	69.94	68.11	69.98	69.35	68.98
269	69.95	68.11	69.99	69.38	68.98
270	69.95	68.11	69.99	69.38	68.98
271	69.96	68.14	70.0	69.4	69.0
272	69.97	68.15	70.0	69.41	69.0
273	69.98	68.15	70.0	69.47	69.0
274	69.98	68.17	70.0	69.49	69.0
275	69.98	68.18	70.0	69.51	69.0
276	69.99	68.21	70.0	69.57	69.0
277	70.0	68.22	70.0	69.63	69.0
278	70.0	68.28	70.0	69.65	69.0
279	70.0	68.31	70.0	69.69	69.0
280	70.0	68.33	70.0	69.71	69.0
281	70.0	68.33	70.0	69.76	69.0
282	70.0	68.35	70.0	69.78	69.0
283	70.0	68.38	70.0	69.82	69.0
284	70.0	68.41	70.0	69.83	69.0
285	70.0	68.44	70.0	69.84	69.0
286	70.0	68.47	70.0	69.85	69.0
287	70.0	68.51	70.0	69.87	69.0
288	70.0	68.53	70.0	69.89	69.0
289	70.0	68.56	70.0	69.89	69.0
290	70.0	68.61	70.0	69.92	69.0
291	70.0	68.64	70.0	69.93	69.0
292	70.0	68.67	70.0	69.93	69.0
293	70.0	68.7	70.0	69.93	69.0
294	70.0	68.72	70.0	69.93	69.0
295	70.0	68.74	70.0	69.95	69.0
296	70.0	68.76	70.0	69.96	69.0
297	70.0	68.78	70.0	69.96	69.0
298	70.0	68.78	70.0	69.97	69.0
299	70.0	68.81	70.0	69.97	69.0
300	70.0	68.83	70.0	69.98	69.0
301	70.0	68.83	70.0	69.99	69.0
302	70.0	68.86	70.0	70.0	69.0
303	70.0	68.88	70.0	70.0	69.0
304	70.0	68.9	70.0	70.0	69.0
305	70.0	68.91	70.0	70.0	69.01
306	70.0	68.94	70.0	70.0	69.01
307	70.0	68.96	70.0	70.0	69.01
308	70.0	68.96	70.0	70.0	69.01
309	70.0	68.98	70.0	70.0	69.01
310	70.0	68.98	70.0	70.0	69.01
311	70.0	68.99	70.0	70.0	69.01
312	70.0	68.99	70.0	70.0	69.01
313	70.0	68.99	70.0	70.0	69.01
314	70.0	69.0	70.0	70.0	69.01
315	70.0	69.0	70.0	70.0	69.01
316	70.0	69.01	70.0	70.0	69.02
317	70.0	69.01	70.0	70.0	69.02
318	70.0	69.01	70.0	70.0	69.02
319	70.0	69.01	70.0	70.0	69.02
320	70.0	69.01	70.0	70.0	69.02
321	70.0	69.01	70.0	70.0	69.02
322	70.0	69.01	70.0	70.0	69.02
323	70.0	69.01	70.0	70.0	69.03
324	70.0	69.01	70.0	70.0	69.06
325	70.0	69.01	70.0	70.0	69.06
326	70.0	69.01	70.0	70.0	69.06
327	70.0	69.01	70.0	70.0	69.09
328	70.0	69.01	70.0	70.0	69.09
329	70.0	69.01	70.0	70.0	69.09
330	70.0	69.01	70.0	70.0	69.1
331	70.0	69.01	70.0	70.0	69.11
332	70.0	69.02	70.0	70.0	69.12
333	70.0	69.02	70.0	70.0	69.15
334	70.0	69.02	70.0	70.0	69.19
335	70.0	69.02	70.0	70.0	69.21
336	70.0	69.02	70.0	70.0	69.27
337	70.0	69.03	70.0	70.0	69.28
338	70.0	69.04	70.0	70.0	69.32
339	70.0	69.05	70.0	70.0	69.34
340	70.0	69.05	70.0	70.0	69.36
341	70.0	69.07	70.0	70.0	69.4
342	70.0	69.07	70.0	70.0	69.41
343	70.0	69.08	70.0	70.0	69.44
344	70.0	69.11	70.0	70.0	69.45
345	70.0	69.13	70.0	70.0	69.48
346	70.0	69.15	70.0	70.0	69.51
347	70.0	69.17	70.0	70.0	69.55
348	70.0	69.21	70.0	70.0	69.55
349	70.0	69.21	70.0	70.0	69.58
350	70.0	69.24	70.0	70.0	69.61
351	70.0	69.26	70.0	70.0	69.64
352	70.0	69.27	70.0	70.0	69.67
353	70.0	69.29	70.0	70.0	69.71
354	70.0	69.35	70.0	70.0	69.72
355	70.0	69.39	70.0	70.0	69.74
356	70.0	69.44	70.0	70.0	69.74
357	70.0	69.45	70.0	70.0	69.76
358	70.0	69.49	70.0	70.0	69.82
359	70.0	69.51	70.0	70.0	69.83
360	70.0	69.51	70.0	70.0	69.83
361	70.0	69.53	70.0	70.0	69.86
362	70.0	69.59	70.0	70.0	69.88
363	70.0	69.59	70.0	70.0	69.89
364	70.0	69.63	70.0	70.0	69.9
365	70.0	69.67	70.0	70.0	69.9
366	70.0	69.68	70.0	70.0	69.9
367	70.0	69.72	70.0	70.0	69.92
368	70.0	69.73	70.0	70.0	69.92
369	70.0	69.75	70.0	70.0	69.92
370	70.0	69.79	70.0	70.0	69.92
371	70.0	69.82	70.0	70.0	69.94
372	70.0	69.84	70.0	70.0	69.94
373	70.0	69.86	70.0	70.0	69.94
374	70.0	69.87	70.0	70.0	69.97
375	70.0	69.88	70.0	70.0	69.98
376	70.0	69.88	70.0	70.0	69.98
377	70.0	69.89	70.0	70.0	69.98
378	70.0	69.9	70.0	70.0	69.99
379	70.0	69.91	70.0	70.0	69.99
380	70.0	69.94	70.0	70.0	69.99
381	70.0	69.94	70.0	70.0	69.99
382	70.0	69.94	70.0	70.0	69.99
383	70.0	69.94	70.0	70.0	69.99
384	70.0	69.96	70.0	70.0	69.99
385	70.0	69.96	70.0	70.0	69.99
386	70.0	69.96	70.0	70.0	70.0
387	70.0	69.97	70.0	70.0	70.0
388	70.0	69.98	70.0	70.0	70.0
